Плагиат;Длина документа;Цитируемость;Документ
0;5057;113; Онищенко Г.Г. Критерии опасности загрязнения окружающей среды. Гигиена и санитария.  2003. № 6.  С. 3-4
0;3096;113; Шинкин В.Н., Коликов А.П. Формовка листовой заготовки в кромкогибочном прессе и условие возникновения гофра при производстве труб магистральных трубопроводов. Производство проката.  2011. № 4.  С. 14-22
0;63899;112; Симбирцев А.С. Толл-белки: специфические рецепторы не- специфического иммунитета. Иммунология.  2005. Т. 26. № 6.  С. 368-376
5013;17379;112; Сальников В.П., Романовская В.Б., Сальников М.В., Романовская Л.Р. Религиозные и иные духовные традиции как защита от угрозы деградации общества. Юридическая наука: история и современность.  2015. № 7.  С. 173-179
0;17180;112; Розенберг И.Н., Тони О.В., Цветков В.Я. Интегрированная система управления железной дорогой с применением спутниковых технологий. Транспорт Российской Федерации.  2010. № 6 (31).  С. 54-57
0;11692;112; Насонов Е.Л. Ревматоидный артрит как общемедицинская проблема. Терапевтический архив.  2004. Т. 76. № 5.  С. 5-7
0;37387;112; Мукомель В.И. Грани интолерантности (мигрантофобии, этнофобии). Социологические исследования.  2005. № 2.  С. 56-65
0;36230;111; Шилов А. Инновационная экономика: наука, государство, бизнес. Вопросы экономики.  2011. № 1.  С. 127-137
0;98542;111; Бойнович Л.Б., Емельяненко А.М. Гидрофобные материалы и покрытия: принципы создания, свойства и применение. Успехи химии.  2008. Т. 77. № 7.  С. 619-638
0;51926;111; Данилов-Данильян В.И. УСТОЙЧИВОЕ РАЗВИТИЕ (ТЕОРЕТИКО-МЕТОДОЛОГИЧЕСКИЙ АНАЛИЗ). Экономика и математические методы.  2003. Т. 39. № 2.  С. 123-135
0;20083;111; Мельничук О., Яковлева А. МОДЕЛЬ СПЕЦИАЛИСТА (К вопросу о гуманизации образования). Высшее образование в России.  2000. № 5.  С. 19-25
0;63610;111; Борисенко А.С., Сотников В.И., Изох А.Э., Поляков Г.В., Оболенский А.А. Пермо-триасовое оруденение Азии и его связь с проявлением плюмового магматизма. Геология и геофизика.  2006. № 1.  С. 166-182
0;13240;111; Беляева А. Управление самостоятельной работой студентов. Высшее образование в России.  2003. № 6.  С. 105-109
0;25625;110; Соловьев И.В., Цветков В.Я. О содержании и взаимосвязях категорий «информация», «информационные ресурсы», «знания». Дистанционное и виртуальное обучение.  2011. № 6.  С. 11-21
0;194421;110; Третьяков Ю.Д. Процессы самоорганизации в химии материалов. Успехи химии.  2003. Т. 72. № 8.  С. 731-763
0;43131;110; Бондур B.Г., Кондратьев К.Я., Крапивин В.Ф., Савиных В.П. Проблемы мониторинга и предсказания природных катастроф. Исследование Земли из космоса.  2005. № 1.  С. 3-14
869;20910;110; Галузо В.Н. КОНСТИТУЦИОННО-ПРАВОВОЙ СТАТУС РОССИИ: ПРОБЛЕМА ИМЕНОВАНИЯ ГОСУДАРСТВА. Вестник Московского университета МВД России.  2010. № 5.  С. 119-123
0;39355;110; Олейников В.А., Суханова А.В., Набиев И.Р. Флуресцентные полупроводниковые нанокристаллы в биологии и медицине. Российские нанотехнологии.  2007. Т. 2. № 1-2.  С. 160-173
3103;26716;110; Жигульский К.В., Кравец О.Я., Соляник А.И. ПОСТРОЕНИЕ МОДЕЛИ СИСТЕМЫ УПРАВЛЕНИЯ БИЗНЕС-ПРОЦЕССАМИ САНАТОРИЯ НА ОСНОВЕ ПРОЕКТНОГО ПОДХОДА. Системы управления и информационные технологии.  2008. Т. 33. № 3.  С. 55-61
0;12394;110; Романовская Л.Р., Сальников В.П. ПРОФЕССОР А.П. КУНИЦЫН У ИСТОКОВ ЕСТЕСТВЕННОЙ ШКОЛЫ ПРАВА В РОССИИ. Правовое государство: теория и практика.  2014. № 4 (38).  С. 23-26
4874;32586;110; Панин В.Е., Панин А.В. Эффект поверхностного слоя в деформируемом твердом теле. Физическая мезомеханика.  2005. Т. 8. № 5.  С. 7-15
0;73007;109; Радыгин А., Энтов Р. В поисках институциональных характеристик экономического роста &lti&gt(новые подходы на рубеже XX-XXI вв.)&lt/i&gt. Вопросы экономики.  2008. № 8.  С. 4-27
0;40322;109; Наумова Н.Ф. Жизненная стратегия человека в переходном обществе. Социологический журнал.  1995. № 2.  С. 5-22
0;35678;109; Шмиттер Ф. НЕОКОРПОРАТИЗМ. Полис. Политические исследования.  1997. № 2.  С. 14-22
0;118006;109; Каткова М.А., Витухновский А.Г., Бочкарев М.Н. Координационные соединения редкоземельных металлов с органическими лигандами для электролюминесцентных диодов. Успехи химии.  2005. Т. 74. № 12.  С. 1193-1215
0;35368;109; Дежина И., Киселева В. «Тройная спираль» в инновационной системе России. Вопросы экономики.  2007. № 12.  С. 123-135
725;2469;109; Шинкин В.Н. Критерий перегиба в обратную сторону свободной части листовой заготовки на трубоформовочном прессе SMS MEER при производстве труб большого диаметра. Производство проката.  2012. № 9.  С. 21-26
0;26756;108; Хабриева Т.Я. Современная конституция и местное самоуправление. Журнал российского права.  2005. № 4 (100).  С. 10-18
0;94658;108; Андриевский В.Р., Фрадков А.Л. УПРАВЛЕНИЕ ХАОСОМ: МЕТОДЫ И ПРИЛОЖЕНИЯ. I. МЕТОДЫ. Автоматика и телемеханика.  2003. № 5.  С. 3-45
0;34767;108; Медведев С.М., Числов А.И. ПРАВА, СВОБОДЫ И ЗАКОННЫЕ ИНТЕРЕСЫ ГРАЖДАН: ФОРМЫ И СРЕДСТВА ОХРАНЫ. Правовое поле современной экономики.  2012. № 11.  С. 139-153
3559;36721;108; Перегудов С.П. Гражданское общество как субъект публичной политики. Полис. Политические исследования.  2006. № 2.  С. 139-150
0;32229;108; Аполихин О.И., Какорина Е.П., Сивков А.В., Бешлиев Д.А., Солнцева Т.В., Комарова В.А. Состояние урологической заболеваемости в Российской Федерации по данным официальной статистики. Урология.  2008. № 3.  С. 3-9
0;38886;108; Соловьев А.И. ТРИ ОБЛИКА ГОСУДАРСТВА - ТРИ СТРАТЕГИИ ГРАЖДАНСКОГО ОБЩЕСТВА. Полис. Политические исследования.  1996. № 6.  С. 29-38
14878;57956;108; Буданов В.Г. О методологии синергетики. Вопросы философии.  2006. № 5.  С. 79-94
0;12921;108; Петриков А.В. Тенденции развития интегрированных агропромышленных формирований. АПК: Экономика, управление.  2005. № 1.  С. 25-32
0;27533;108; Суханов Е.А. О понятии и видах вещных прав в российском гражданском праве. Журнал российского права.  2006. № 12 (120).  С. 42-50
0;91189;108; Андреев А.Ю., Кушнарева Ю.Е., Старков А.А. Метаболизм активных форм кислорода в митохондриях (обзор). Биохимия.  2005. Т. 70. № 2.  С. 246-264
0;38283;108; Голосов Г.В., Лихтенштейн А.В. Партии власти и российский институциональный дизайн: теоретический анализ. Полис. Политические исследования.  2001. № 1.  С. 6-14
3847;61981;108; Хабриева Т.Я., Ноздрачев А.Ф., Тихомиров Ю.А. Административная реформа: решения и проблемы. Журнал российского права.  2006. № 2 (110).  С. 3-23
0;58810;108; Ивашковская И.В. УПРАВЛЕНИЕ СТОИМОСТЬЮ КОМПАНИИ: ВЫЗОВЫ РОССИЙСКОМУ МЕНЕДЖМЕНТУ. Российский журнал менеджмента.  2004. Т. 2. № 4.  С. 113-132
0;2695;108; Шинкин В.Н., Коликов А.П. Моделирование процессов экспандирования и гидроиспытания труб большого диаметра для магистральных трубопроводов. Производство проката.  2011. № 10.  С. 12-19
0;63247;108; Стрижаков А.Н., Тимохина Т.Ф., Баев О.Р. Фетоплацентарная недостаточность: патогенез, диагностика, лечение. Вопросы гинекологии, акушерства и перинатологии.  2003. Т. 2. № 2.  С. 53-63
121171;279937;107; Бикбов В.Т., Томилина Н.А. Состояние заместительной терапии больных с хронической почечной недостаточностью в Российской Федерации в 1998-2007 гг. (Аналитический отчет по данным Российского регистра заместительной почечной терапии). Нефрология и диализ.  2009. Т. 11. № 3.  С. 144-233
0;108501;107; Пилипенко И. Кластерная политика в России. Общество и экономика.  2007. № 8.  С. 28-64
0;19046;107; Буробкин И.Н., Попова Е.А. ЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ В СИСТЕМЕ АГРОПРОМЫШЛЕННОЙ ИНТГЕРАЦИИ. Экономика сельскохозяйственных и перерабатывающих предприятий.  2004. № 1.  С. 21-24
0;57884;107; Гельман В.Я. ПОЛИТИЧЕСКИЕ ПАРТИИ В РОССИИ:§ ОТ КОНКУРЕНЦИИ - К ИЕРАРХИИ. Полис. Политические исследования.  2008. № 5.  С. 135-152
0;58561;107; Комков Н.И. РОЛЬ ИННОВАЦИЙ И ТЕХНОЛОГИЙ В РАЗВИТИИ ЭКОНОМИКИ И ОБЩЕСТВА. Проблемы прогнозирования.  2003. № 3.  С. 24-43
4843;20485;107; Жигульский К.В., Кравец О.Я., Соляник А.И. Проектный подход к построению структурной модели распределенного предприятия. Управление большими системами: сборник трудов.  2008. № 22.  С. 207-222
0;76994;107; Миндели Л.Э., Пипия Л.К. Концептуальные аспекты формирования экономики знаний. Проблемы прогнозирования.  2007. № 3.  С. 115-136
0;7644;107; Щепин О.П., Овчаров В.К. Пути решения проблем здравоохранения. Проблемы социальной гигиены, здравоохранения и истории медицины.  2004. № 1.  С. 3-6
0;100534;106; Рубин Ю.Б. ДИСКУССИОННЫЕ ВОПРОСЫ СОВРЕМЕННОЙ ТЕОРИИ КОНКУРЕНЦИИ. Современная конкуренция.  2010. № 3 (21).  С. 38-67
11166;49476;106; Болдырев Н.Н. РЕПРЕЗЕНТАЦИЯ ЗНАНИЙ В СИСТЕМЕ ЯЗЫКА. Вопросы когнитивной лингвистики.  2007. № 4.  С. 17-27
1303;11054;106; Павленко В.И., Едаменко О.Д., Ястребинский Р.Н., Черкашина Н.И. Радиационно-защитный композиционный материал на основе полистирольной матрицы. Вестник Белгородского государственного технологического университета им. В.Г. Шухова.  2011. № 3.  С. 113-116
0;25157;106; Амосенок Э.П., Бажанов В.А. ИНТЕГРАЛЬНАЯ ОЦЕНКА ИННОВАЦИОННОГО ПОТЕНЦИАЛА РЕГИОНОВ РОССИИ. Регион: Экономика и Социология.  2006. № 2.  С. 134-145
0;14570;106; Рубаник А.Н., Большакова Г.И., Тельных Н.В. Самостоятельная работа студентов. Высшее образование в России.  2005. № 6.  С. 120-124
0;63292;106; Гельман В.Я. Возвращение Левиафана? (Политика рецентрализации в современной России). Полис. Политические исследования.  2006. № 2.  С. 90-109
0;50463;106; Гохберг Л., Китова Г., Кузнецова Т. Стратегия интеграционных процессов в сфере науки и образования. Вопросы экономики.  2008. № 7.  С. 112-128
0;55650;106; Голосов Г.В. ПОВЕДЕНИЕ ИЗБИРАТЕЛЕЙ В РОССИИ: ТЕОРЕТИЧЕСКИЕ ПЕРСПЕКТИВЫ И РЕЗУЛЬТАТЫ РЕГИОНАЛЬНЫХ ВЫБОРОВ. Полис. Политические исследования.  1997. № 4.  С. 44-56
8979;124432;106; Ивантер В.В., Узяков М.Н., Шокин И.Н., Широв А.А., Суворов А.В., Некрасов А.С., Синяк Ю.В., Ксенофонтов М.Ю., Буданов И.А., Борисов В.Н., Коровкин А.Г., Панфилов В.С., Говтвань О.Д., Шураков А.Г., Комков Н.И., Фролов И.Э. ДОЛГОСРОЧНЫЙ ПРОГНОЗ РАЗВИТИЯ ЭКОНОМИКИ РОССИИ НА 2007-2030 гг. (ПО ВАРИАНТАМ). Проблемы прогнозирования.  2007. № 6.  С. 3-45
0;31581;106; Лукашенко М. «Конкуренция» на рынке образовательных услуг. Высшее образование в России.  2006. № 9.  С. 47-55
0;70093;106; Паппэ Я.Ш. РОССИЙСКИЙ КРУПНЫЙ БИЗНЕС КАК ЭКОНОМИЧЕСКИЙ ФЕНОМЕН: ОСОБЕННОСТИ СТАНОВЛЕНИЯ И СОВРЕМЕННОГО ЭТАПА РАЗВИТИЯ. Проблемы прогнозирования.  2002. № 1.  С. 29-46
3942;39487;106; Харченко В.И., Какорина Е.П., Корякин М.В., Вирин М.М., Ундрицов В.М., Онищенко П.И., Потиевский Б.Г., Михайлова Р.Ю. Смертность от основных болезней системы кровообращения в России (Аналитический обзор официальных данных Госкомстата, Минздрава России, ВОЗ и экспертных оценок по проблеме). Российский кардиологический журнал.  2005. № 1 (51).  С. 5-15
0;43481;105; Глазьев С.Ю. Санкции США и политика Банка России: двойной удар по национальной экономике. Вопросы экономики.  2014. № 9.  С. 13-29
0;46444;105; Мау В. Экономическая политика 2010 года: в поисках инноваций. Вопросы экономики.  2011. № 2.  С. 4-22
2270;15155;105; Копылов М.В., Говорский А.Э., Солдатов Е.А., Кравец О.Я. АНАЛИТИЧЕСКИЕ ОСНОВЫ МОДЕЛИРОВАНИЯ И ПРОЕКТИРОВАНИЯ МНОГОЗВЕННОЙ КЛИЕНТ-СЕРВЕРНОЙ СИСТЕМЫ. Информационные технологии моделирования и управления.  2010. № 1 (60).  С. 49-60
0;13766;105; Курзенин Э.Б., Сальников В.П. Идеи естественного права в трудах Гуго Гроция. Евразийский юридический журнал.  2014. № 12.  С. 120-122
0;59778;105; Баранов С., Скуфьина Т. Анализ межрегиональной дифференциации и построение рейтингов субъектов Российской Федерации. Вопросы экономики.  2005. № 8.  С. 54-75
0;18300;105; Дебердеева Т.Х. Новые ценности образования в условиях информационного общества. Инновации в образовании.  2005. № 3.  С. 5-12
0;7088;105; Насонов Е.Л. ПРОБЛЕМА АТЕРОТРОМБОЗА В РЕВМАТОЛОГИИ. Вестник Российской академии медицинских наук.  2003. № 7.  С. 6-11
0;6391;105; Увайсов С.У., Иванов И.А., Кошелев Н.А. Формирование наборов тестовых сигналов для контроля качества электронных средств космических аппаратов. Качество. Инновации. Образование.  2011. № 11 (78).  С. 74-79
0;5075;105; Сальников С.П. Правовые идеалы российского общества второй половины ХIХ - начала ХХ веков. Вестник Санкт-Петербургского университета МВД России.  2006. № 1.  С. 107-108
0;13478;104; Кессиди Ф.Х. Глобализация и культурная идентичность. Вопросы философии.  2003. № 1.  С. 76-79
0;239452;104; Елецкий А.В. Механические свойства углеродных наноструктур и материалов на их основе. Успехи физических наук.  2007. Т. 177. № 3.  С. 233-274
0;35413;104; Сморгунов Л.В. СРАВНИТЕЛЬНЫЙ АНАЛИЗ ПОЛИТИКО-АДМИНИСТРАТИВНЫХ РЕФОРМ: ОТ НОВОГО ГОСУДАРСТВЕННОГО МЕНЕДЖМЕНТА К КОНЦЕПЦИИ GOVERNANCE. Полис. Политические исследования.  2003. № 4.  С. 50-58
0;10847;104; Лиханов В.А., Гребнев А.В., Бузмаков Ю.Г., Скрябин М.Л. Улучшение эффективных показателей дизеля с промежуточным охлаждением наддувочного воздуха при работе на природном газе. Тракторы и сельхозмашины.  2008. № 6.  С. 19-21
0;26283;104; Ворошилова М.Б. Креолизованный текст: аспекты изучения. Политическая лингвистика.  2006. № 20.  С. 180-189
0;103828;104; Капустин Б.Г., Клямкин И.М. ЛИБЕРАЛЬНЫЕ ЦЕННОСТИ В СОЗНАНИИ РОССИЯН. Полис. Политические исследования.  1994. № 1.  С. 68-92
0;34265;104; Сорокин Д. О стратегии развития России. Вопросы экономики.  2010. № 8.  С. 28-40
2645;60289;104; Гимпельсон В., Капелюшников Р. Нестандартная занятость и российский рынок труда. Вопросы экономики.  2006. № 1.  С. 122-143
0;45627;104; Субботина Т. Россия на распутье: два пути к международной конкурентоспособности. Вопросы экономики.  2006. № 2.  С. 46-64
5831;60515;104; Сальников М.В. ПОЛИТИКО-ПРАВОВАЯ ТРАДИЦИЯ: ИТОГИ И РАЗМЫШЛЕНИЯ. Юридическая наука: история и современность.  2015. № 1.  С. 170-188
0;5220;104; Лиханов В.А., Лопатин О.П., Шишканов Е.А. Снижение содержания оксидов азота в отработавших газах дизеля путем их рециркуляции. Тракторы и сельхозмашины.  2007. № 9.  С. 8-9
671;7836;104; Козлов В.И. Система микроциркуляции крови: клинико-морфологические аспекты изучения. Регионарное кровообращение и микроциркуляция.  2006. Т. 5. № 1.  С. 84-101
227;2487;104; Майборода А.А., Калягин А.Н., Зобнин Ю.В., Щербатых А.В. Современные подходы к подготовке оригинальной статьи в научный журнал медико-биологической направленности в свете концепции «доказательной медицины». Сибирский медицинский журнал (Иркутск).  2008. Т. 76. № 1.  С. 5-8
0;6581;104; Майоров А.А., Цветков В.Я. ГЕОРЕФЕРЕНЦИЯ КАК ПРИМЕНЕНИЕ ПРОСТРАНСТВЕННЫХ ОТНОШЕНИЙ В ГЕОИНФОРМАТИКЕ. Известия высших учебных заведений. Геодезия и аэрофотосъемка.  2012. № 3.  С. 87-89
2313;50452;103; Сальников М.В. Политико-правовая интеграция: национальные правовые традиции. Мир политики и социологии.  2013. № 11.  С. 183-199
0;41622;103; Жураковский В., Федоров И. Модернизация высшего образования: проблемы и пути их решения. Высшее образование в России.  2006. № 1.  С. 3-14
0;24808;103; Поштарева Т.В. Формирование этнокультурной компетентности. Педагогика.  2005. № 3.  С. 35-43
0;50843;103; Башкирова Е.И. Трансформация ценностей российского общества. Полис. Политические исследования.  2000. № 6.  С. 51-65
0;28460;103; Валиев Р.З. Создание наноструктурных металлов и сплавов с уникальными свойствами, используя интенсивные пластические деформации. Российские нанотехнологии.  2006. Т. 1. № 1-2.  С. 208-216
978;32980;103; Болотов В.А., Ефремова Н.Ф. Система оценки качества российского образования. Педагогика.  2006. № 1.  С. 22-31
0;40934;103; Мельвиль А.Ю. О траекториях посткоммунистических трансформаций. Полис. Политические исследования.  2004. № 2.  С. 64-75
0;23406;103; Кузык Б.Н. Инновационное развитие России: сценарный подход. Экономические стратегии.  2009. Т. 11. № 1.  С. 56-67
0;21888;103; Хуторской А.В. Педагогические средства реализации эвристического потенциала образования. Педагогика.  2009. № 3.  С. 17-24
0;45385;103; Элейзер Д.Д. СРАВНИТЕЛЬНЫЙ ФЕДЕРАЛИЗМ. Полис. Политические исследования.  1995. № 5.  С. 106-115
0;37567;103; Кубрякова Е.С., Демьянков В.З. К проблеме ментальных репрезентаций. Вопросы когнитивной лингвистики.  2007. № 4.  С. 8-16
0;26762;103; Хухрин А.С., Примак А.А., Пехутова Е.А. АГРОПРОМЫШЛЕННЫЕ КЛАСТЕРЫ: РОССИЙСКАЯ МОДЕЛЬ. Экономика сельскохозяйственных и перерабатывающих предприятий.  2008. № 7.  С. 30-35
0;6747;103; Исайчев В.А., Хованская Е.Л. Влияние стимуляторов роста на динамику площади листьев. Вестник российской сельскохозяйственной науки.  2008. № 2.  С. 47-48
0;2736;103; Шинкин В.Н., Коликов А.П. ТЕХНОЛОГИЧЕСКИЕ РАСЧЕТЫ ПРОЦЕССОВ ПРОИЗВОДСТВА ТРУБ БОЛЬШОГО ДИАМЕТРА ПО ТЕХНОЛОГИИ SMS MEER. Металлург.  2011. № 11.  С. 77-81
0;47698;103; Юдаева К., Ясин Е. Стратегия-2050: справится ли Россия с вызовами глобализации?. Вопросы экономики.  2008. № 5.  С. 4-21
0;16234;102; Сальников В.П., Жданов П.С., Сальников М.В., Романовская В.Б. Русская религиозная философия права как защита национальных ценностей от инокультурной экспансии. Мир политики и социологии.  2015. № 7.  С. 11-18
813;30852;102; Афанасьева Н.В., Стрижаков А.Н. Исходы беременности и родов при фетоплацентарной недостаточности различной степени тяжести. Вопросы гинекологии, акушерства и перинатологии.  2004. Т. 3. № 2.  С. 7-13
0;60957;102; Варшавский А.Е. Наукоемкие отрасли и высокие технологии: определение, показатели, техническая политика, удельный вес в структуре экономики России. Экономическая наука современной России.  2000. № 2.  С. 61-83
0;27918;102; Гаджиев Г. Правовые позиции Конституционного Суда Российской Федерации как источник конституционного права. Сравнительное конституционное обозрение.  1999. № 3.  С. 81-85
0;20463;102; Гурков И., Авраамова Е., Тубалов В. Конкурентоспособность и инновационность российских промышленных предприятий &lti&gt(по результатам массового опроса &lt/i&gtих руководителей). Вопросы экономики.  2005. № 2.  С. 40-52
2909;20207;102; Островский В.К., Мащенко А.В., Янголенко Д.В., Макаров С.В. Показатели крови и лейкоцитарного индекса интоксикации в оценке тяжести и определении прогноза при воспалительных, гнойных и гнойно-деструктивных заболеваниях. Клиническая лабораторная диагностика.  2006. № 6.  С. 50-53
0;46327;102; Захарцев С.И., Сальников В.П. ЧТО ТАКОЕ ПРАВО? ВОПРОСЫ ОНТОЛОГИИ И ГНОСЕОЛОГИИ. Правовое государство: теория и практика.  2015. № 2 (40).  С. 14-22
0;28338;102; Малофеев Н.Н., Шматко Н.Д. Базовые модели интегрированного обучения. Дефектология.  2008. № 1.  С. 71-78
0;24545;102; Смоленский М.Б. Правовая культура, личность и гражданское общество в России: формула взаимообусловленности. Известия высших учебных заведений. Правоведение.  2003. № 1 (246).  С. 197-204
0;40968;102; Марков X.М. Оксидантный стресс и дисфункция эндотелия. Патологическая физиология и экспериментальная терапия.  2005. № 4.  С. 5-9
0;17095;102; Соляник А.И., Кравец О.Я. Алгоритмизация бизнес-процессов в системе управления качеством санаторно-курортного лечения на основе требований стандартов ISO серии 9000. Информационные технологии моделирования и управления.  2008. № 3 (46).  С. 264-278
0;7027;102; Сауляк О.П., Экимов А.И. Средневековые идеи политического устройства общества, обращенные в будущее. Мир политики и социологии.  2014. № 10.  С. 23-25
0;6363;102; Лиханов В.А., Гребнев А.В., Бузмаков Ю.Г., Скрябин М.Л. Улучшение токсических показателей дизеля с промежуточным охлаждением наддувочного воздуха при работе на природном газе. Тракторы и сельхозмашины.  2008. № 7.  С. 6-7
0;35736;102; Бутрова С.А., Дзгоева Ф.Х. Висцеральное ожирение - ключевое звено метаболического синдрома. Ожирение и метаболизм.  2004. № 1.  С. 10-16
0;60684;101; Леонтьева И.В. Проблема артериальной гипертензии у детей и подростков. Российский вестник перинатологии и педиатрии.  2006. Т. 51. № 5.  С. 7-18
0;55700;101; Мильнер Б.З. КОНЦЕПЦИЯ УПРАВЛЕНИЯ ЗНАНИЯМИ В СОВРЕМЕННЫХ ОРГАНИЗАЦИЯХ. Российский журнал менеджмента.  2003. Т. 1. № 1.  С. 57-76
0;31710;101; Кудрин А., Гурвич Е. Старение населения и угроза бюджетного кризиса. Вопросы экономики.  2012. № 3.  С. 52-79
0;17217;101; Милосердов В. Крупное агропроизводство - локомотив развития сельской экономики. АПК: Экономика, управление.  2005. № 2.  С. 3-10
3743;56888;101; Кущ С.П., Афанасьев А.А. МАРКЕТИНГОВЫЕ АСПЕКТЫ РАЗВИТИЯ МЕЖФИРМЕННЫХ СЕТЕЙ: РОССИЙСКИЙ ОПЫТ. Российский журнал менеджмента.  2004. Т. 2. № 1.  С. 33-52
0;54147;101; Яковлев М.Ю. ЭЛЕМЕНТЫ ЭНДОТОКСИНОВОЙ ТЕОРИИ ФИЗИОЛОГИИ И ПАТОЛОГИИ ЧЕЛОВЕКА. Физиология человека.  2003. Т. 29. № 4.  С. 98-109
0;156527;101; Белоусов А.Р. СЦЕНАРИИ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РОССИИ НА ПЯТНАДЦАТИЛЕТНЮЮ ПЕРСПЕКТИВУ. Проблемы прогнозирования.  2006. № 1.  С. 1-54
0;27489;101; Смирнов С. Болонский процесс: перспективы развития в России. Высшее образование в России.  2004. № 1.  С. 43-51
0;24577;101; Пузанков Д., Федоров И., Шадриков В. Двухступенчатая система подготовки специалистов. Высшее образование в России.  2004. № 2.  С. 3-11
0;18490;100; Демьянков В.З. Когниция и понимание текста. Вопросы когнитивной лингвистики.  2005. № 3.  С. 5-10
0;21950;100; Милосердов В.В. РЫНОЧНАЯ КООПЕРАЦИЯ И ИНТЕГРАЦИЯ - МАГИСТРАЛЬНОЕ НАПРАВЛЕНИЕ РАЗВИТИЯ АПК РЕГИОНОВ. Экономика сельскохозяйственных и перерабатывающих предприятий.  2004. № 1.  С. 11-14
0;6733;100; Щепин В.О., Овчаров В.К. Здравоохранение России: стратегический анализ и перспективные направления развития. Проблемы социальной гигиены, здравоохранения и истории медицины.  2005. № 2.  С. 3-7
0;47778;100; Похолков Ю., Чучалин А., Могильницкий С., Боев Б. Обеспечение и оценка качества высшего образования. Высшее образование в России.  2004. № 2.  С. 12-27
0;25470;99; Сигов А.С., Цветков В.Я. НЕЯВНОЕ ЗНАНИЕ: ОППОЗИЦИОННЫЙ ЛОГИЧЕСКИЙ АНАЛИЗ И ТИПОЛОГИЗАЦИЯ. Вестник Российской академии наук.  2015. Т. 85. № 9.  С. 800
0;18350;99; Маколкин В.И., Подзолков В.И., Павлов В.И., Самойленко В В. Состояние микроциркуляции при гипертонической болезни. Кардиология.  2003. Т. 43. № 5.  С. 60-67
5119;52768;99; Авдеев С.Н., Баймаканова Т.Е. ХОБЛ и сердечно-сосудистые заболевания: механизмы ассоциации. Пульмонология.  2008. № 1.  С. 5-13
0;32387;99; Васильева О.С., Демченко Е.А. Изучение основных характеристик жизненной стратегии человека. Вопросы психологии.  2001. № 2.  С. 74-84
0;46714;99; Малько А.В. Правовые средства как общетеоретическая проблема. Известия высших учебных заведений. Правоведение.  1999. № 2 (225).  С. 4-16
0;40403;99; Пчелинцев О.С. РЕГИОНЫ РОССИИ: СОВРЕМЕННОЕ СОСТОЯНИЕ И ПРОБЛЕМА ПЕРЕХОДА К УСТОЙЧИВОМУ РАЗВИТИЮ. Проблемы прогнозирования.  2001. № 1.  С. 102-115
3094;16942;99; Макарова Т.В., Кошелев А.А., Козырева О.А. КУЛЬТУРА САМОСТОЯТЕЛЬНОЙ РАБОТЫ ОБУЧАЮЩЕГОСЯ: ТИПОЛОГИЯ, МОДЕЛЬ ФОРМИРОВАНИЯ. Омский научный вестник.  2014. № 3 (129).  С. 128-131
614;13902;99; Соляник А.И., Кравец О.Я. Процессный подход к проектированию системы экологического менеджмента в составе интегрированной системы управления санаторно-курортной деятельностью. Информационные технологии моделирования и управления.  2008. № 2 (45).  С. 151-159
601;19603;99; Шальнова С., Кукушкин С., Маношкина Е., Тимофеева Т. Артериальная гипертензия и приверженность терапии. Врач.  2009. № 12.  С. 39-42
0;31284;99; Мильнер Б. Управление интеллектуальными ресурсами. Вопросы экономики.  2008. № 7.  С. 129-140
0;69257;99; Медведев Д.А. Новая реальность: Россия и глобальные вызовы. Вопросы экономики.  2015. № 10.  С. 5-29
3455;24484;99; Любушин Н.П., Бабичева Н.Э., Галушкина А.И., Козлова Л.В. АНАЛИЗ МЕТОДОВ И МОДЕЛЕЙ ОЦЕНКИ ФИНАНСОВОЙ УСТОЙЧИВОСТИ ОРГАНИЗАЦИЙ. Экономический анализ: теория и практика.  2010. № 1.  С. 3-11
0;7720;99; Лиханов В.А., Чувашев А.Н., Глухов А.А., Анфилатов А.А. Улучшение экологических показателей дизеля 24 10,5/12,0 при работе на метаноле. Тракторы и сельхозмашины.  2007. № 3.  С. 4-5
1806;3972;99; Баранов А.А., Намазова-Баранова Л.С., Куличенко Т.В., Торшхоева Р.М., Лукина О.Ф. АНТИ-IgE-ТЕРАПИЯ ТЯЖЕЛОЙ НЕКОНТРОЛИРУЕМОЙ БРОНХИАЛЬНОЙ АСТМЫ У ДЕТЕЙ И ПОДРОСТКОВ*. Педиатрия. Журнал им. Г.Н. Сперанского.  2012. Т. 91. № 2.  С. 9-18
0;69604;98; Николаев Ю.А., Плакунов В.К. БИОПЛЕНКА  “ГОРОД МИКРОБОВ” ИЛИ АНАЛОГ МНОГОКЛЕТОЧНОГО ОРГАНИЗМА?. Микробиология.  2007. Т. 76. № 2.  С. 149-163
0;27199;98; Гаврилюк В.В., Маленков В.В. Гражданственность, патриотизм и воспитание молодежи. Социологические исследования.  2007. № 4.  С. 44-50
0;34235;98; Мачинская Р.И. Нейрофизиологические механизмы произвольного внимания (аналитический обзор). Журнал высшей нервной деятельности им. И.П. Павлова.  2003. Т. 53. № 2.  С. 133-150
0;63305;98; Апресян Р.Г. Понятие общественной морали (опыт концептуализации). Вопросы философии.  2006. № 5.  С. 3-17
